election_id,cancellation_reason
local.gwynedd.llanbedrog.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.haverfordwest-portfield.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.waunfawr.2022-05-05,EQUAL_CANDIDATES
local.wychavon.harvington-and-norton.2019-05-02,EQUAL_CANDIDATES
local.north-yorkshire.stillington.2017-05-04,EQUAL_CANDIDATES
local.wrexham.borras-park.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.aberdovey.2017-05-04,EQUAL_CANDIDATES
local.east-staffordshire.abbey.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.cadnant.2022-05-05,EQUAL_CANDIDATES
local.conwy.bryn.2017-05-04,EQUAL_CANDIDATES
local.city-of-london.dowgate.by.2019-12-19,EQUAL_CANDIDATES
local.gwynedd.dyffryn-ardudwy.2022-05-05,EQUAL_CANDIDATES
local.wrexham.chirk-south.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.pentir.2017-05-04,EQUAL_CANDIDATES
local.wrexham.garden-village.2022-05-05,EQUAL_CANDIDATES
local.north-yorkshire.thirsk.2017-05-04,EQUAL_CANDIDATES
local.wrexham.minera.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.de-pwllheli.2022-05-05,EQUAL_CANDIDATES
local.wychavon.eckington.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.corrismawddwy.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.haverfordwest-priory.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.abererch.2017-05-04,EQUAL_CANDIDATES
local.mid-sussex.east-grinstead-imberhorne.2019-05-02,EQUAL_CANDIDATES
local.powys.newtown-east.2022-05-05,EQUAL_CANDIDATES
local.east-lindsey.coningsby-mareham.2023-05-04,EQUAL_CANDIDATES
local.epping-forest.shelley.2019-05-02,EQUAL_CANDIDATES
local.cumbria.thursby.by.2019-05-02,EQUAL_CANDIDATES
local.wrexham.dyffryn-ceiriog.2022-05-05,EQUAL_CANDIDATES
local.isles-of-scilly.st-agnes.2017-05-04,EQUAL_CANDIDATES
